n,expr,real,imag,status
1,i,0.0,1.0,ok
2,(i^i),0.207879576350761908546955619834978770033877841631769608075135883055419877285482139788600277865426035340521773307235021808190619730374663986999911263178641205731717779520067433766495422463819297374305387037600518906630330497005190055562004758662052943518344318434550274797453447699347141723832308152715,0.0,ok
3,((i^i)^i),9.39290276718152394059185340665950572016081927348146056789889390160753120302738039908063112329900851703316643130109467986011165249239269941725521553554404408239462639064555150752245153638786784692363815746875759028217818303468789993638004019377441525736679068811748975901565481487609915810080874955491e-302,-1.0,ok
3,(i^(i^i)),0.947158998072378380653475352018193333503906133903149363671368117944692927930048808452626268462649022374953596155627807952960619984455397606445787446602976133057694295301779033589745937108536066190236708705006909167352481720869720194713047721538236537655144959765537924815474755070000729457876955651154,0.320764449979308534660116845874863140102367020681276799829657168740755222159363001813086339727527595651797935960847444987239448695928290543713471003309216763838601938271316718296500616668649718164573128948238421063601026767872255524231540771450051307085297646475181539871885669122882739426686508455173,ok
4,(i^(i^(i^i))),0.050092236109321075325057857667404946468201913766929482251191903794255108466570245223267516389354812614012911254982271413872380764123220317585463713768501686554957880405832266142552619391594519307059975559222020778436304634945345029764372934869529594686524862488849430021789291670932618550909727697287,0.602116527036003787856750530540924027575801267953416171469120390644059657614465331661498764557488748877928959189441310749500874928022518731232432711266627899659952339438113672788245020448053519279781732346536088472912004583363227010180773306132203479530269235792610217941093629595446598774936381083452,ok
4,((i^i)^(i^i)),0.721418060882847106085226352362770348735477949239851197540144915075749748631544361625735774680839807363248461062288516756521189578883864394936052041405068570878494420641895722277823327605526539597070390538620976114484955723048036033252603497514219104483420865526180602880371396828331969534144282887682,0.0,ok
4,(i^((i^i)^i)),4.81047738096535165547303566670383312639017087466453494002081548924255190489158213674870476658388335465728222273569912926220334572064634398558555335191808939609703920810555740200737410329080821986686770013517826230729572972012946434772922613368155338474570468739168522619067207686523388345817255158591,7.09754052015907962356067929730237791334746362986203349168626814942158443693319223250872721329656763641858863689389183876349515228973684586303196991143225331192983884680755480976291070381384234577848714505855732781976509941482573767999657727971996809903961202543760033777352899415776978119289766242227e-301,ok
5,((i^i)^((i^i)^i)),9.39290276718152394059185340665950572016081927348146056789889390160753120302738039908063112329900851703316643130109467986011165249239269941725521553554404408239462639064555150752245153638786784692363815746875759028217818303468789993638004019377441525736679068811748975901565481487609915810080874955491e-302,1.0,ok
5,((i^i)^(i^(i^i))),0.197800938517902055184995700619250127449021505952392355919451985749207274846363736431131880398111816575119804990675045230033059381790228882004308508163644906860069382288675882009299609008997520030672345593422606447861460332412258959174107132821396298579973091545200305618050146080688477906005062931123,-0.109051494282689893239767228960332250675917726419076583963766573000387047442213116182352139771885207955729801034597932466800163525997637782549007214891962856181742794414228214209539361221197665352684992918539730526762074149358692501157687585190526250723046539554667799951265500888380953099274138947725,ok
5,(i^(i^((i^i)^i))),0.293323523778203670440485935502117893953969104942673330290755268458259822190018635842349487805818031005342706086963734177080992599221082801383284671561649875779064220717047632284242098251103248181337206852612987936596075588339408489677271844621292862086707043347019867055419667477237468815856798103909,0.956013237564385185717674229540253706894645551423522921689239796010556384304635502784968535135827370240300317993715450387284209748755806066965082026963774164917838072172613175229329915581594628706601678407611154151685325965325545910217678793748110316157931613695939422551208820018523970398907966250589,ok
